City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Biharamulo,TZ,-2.6319,31.3089,60.66,90,100,1.83,overcast clouds
335,Balashov,RU,51.5502,43.1667,19.22,95,95,7.47,overcast clouds
336,Pingzhuang,CN,42.0372,119.2889,29.05,39,1,3.76,clear sky
337,Sri Aman,MY,1.2376,111.4621,80.65,89,20,0.0,few clouds
338,La Baule-Escoublac,FR,47.2922,-2.364,47.88,88,100,4.61,overcast clouds
339,Hanzhong,CN,33.0728,107.0303,41.85,55,10,2.28,clear sky
340,Petropavl,KZ,54.8753,69.1628,-6.88,99,43,7.92,scattered clouds
341,Gari,RU,59.4307,62.3497,9.36,94,95,9.71,overcast clouds
342,Jasper,US,37.2001,-94.3502,48.97,47,0,0.0,clear sky
343,Chumikan,RU,54.7183,135.315,7.57,90,100,9.93,overcast clouds
